Frame#,Time,C7,,,T10,,,CLAV,,,STRN,,,LSHO,,,LELB,,,LWRA,,,LWRB,,,LFIN,,,RSHO,,,RELB,,,RWRA,,,RWRB,,,RFIN,,,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,LTIB,,,LANK,,,LHEE,,,LTOE,,,RTHI,,,RKNE,,,RTIB,,,RANK,,,RHEE,,,RTOE,,,RPINKY,,,LPINKY,,,INRKNE,,,INLKNE,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1.25,0.22121,-2.21512,1.50266,0.22271,-2.24909,1.25402,0.23339,-2.07271,1.40104,0.23289,-2.04063,1.24931,0.04772,-2.14412,1.46548,-0.02661,-2.14156,1.14917,0.02203,-2.05109,0.9119,-0.02257,-2.10115,0.90358,-0.02264,-2.0535,0.83565,0.39988,-2.16135,1.47221,0.50341,-2.18304,1.15554,0.46946,-2.06802,0.93241,0.51373,-2.1094,0.92541,0.5119,-2.07003,0.86387,0.11255,-2.05547,0.97991,0.37927,-2.0716,0.98201,0.18321,-2.21842,1.08767,0.26968,-2.22121,1.0877,0.06494,-2.13249,0.68137,0.084,-2.16991,0.49476,0.06821,-2.19975,0.29626,0.10955,-2.18796,0.08943,0.14717,-2.23396,0.10725,0.16616,-2.03868,0.0515,0.40528,-2.15187,0.68391,0.38587,-2.16673,0.49419,0.39775,-2.1863,0.31753,0.35039,-2.18481,0.08869,0.30096,-2.22889,0.09661,0.31872,-2.0258,0.05128,0.39797,-2.08756,0.05699,0.08044,-2.08288,0.04148,0.28341,-2.16478,0.49186,0.1867,-2.18602,0.48436
127,1.26,0.22095,-2.21469,1.50273,0.22253,-2.2488,1.25412,0.23307,-2.07234,1.40104,0.23258,-2.04034,1.24928,0.04743,-2.1438,1.46549,-0.02683,-2.14148,1.14915,0.02184,-2.05111,0.91184,-0.02274,-2.10121,0.90352,-0.02281,-2.05361,0.83557,0.3996,-2.16086,1.47228,0.50318,-2.18252,1.15563,0.46925,-2.06771,0.93243,0.51348,-2.10889,0.9255,0.51164,-2.06952,0.86395,0.11221,-2.05547,0.97993,0.37895,-2.07137,0.98197,0.18302,-2.2183,1.08775,0.26949,-2.22104,1.08776,0.06471,-2.13243,0.6814,0.08387,-2.16973,0.49477,0.06814,-2.19964,0.29626,0.10954,-2.18796,0.08943,0.14716,-2.23396,0.10726,0.16615,-2.03868,0.05151,0.40509,-2.15173,0.68393,0.38581,-2.16664,0.49421,0.39779,-2.18622,0.31756,0.35041,-2.1848,0.08869,0.301,-2.22891,0.09661,0.31872,-2.02582,0.05129,0.39794,-2.08753,0.05698,0.08044,-2.08288,0.04148,0.28335,-2.16477,0.49183,0.18657,-2.18578,0.48439
128,1.27,0.22067,-2.21424,1.5028,0.22234,-2.2485,1.25422,0.23274,-2.07193,1.40104,0.23225,-2.04003,1.24924,0.04712,-2.14345,1.4655,-0.02706,-2.14138,1.14912,0.02164,-2.05113,0.91178,-0.02291,-2.10125,0.90347,-0.02297,-2.05371,0.83549,0.39929,-2.16034,1.47236,0.50293,-2.18198,1.15573,0.46902,-2.06737,0.93248,0.51322,-2.10836,0.9256,0.51137,-2.06898,0.86403,0.11184,-2.05546,0.97997,0.37861,-2.07115,0.98193,0.18281,-2.21818,1.08783,0.26929,-2.22087,1.08782,0.06446,-2.13237,0.68143,0.08373,-2.16955,0.49479,0.06806,-2.19953,0.29627,0.10953,-2.18795,0.08943,0.14715,-2.23395,0.10726,0.16615,-2.03868,0.05151,0.4049,-2.15157,0.68396,0.38575,-2.16652,0.49423,0.39782,-2.18613,0.31758,0.35044,-2.18479,0.08868,0.30104,-2.22894,0.09662,0.31872,-2.02584,0.0513,0.3979,-2.08749,0.05697,0.08044,-2.08288,0.04148,0.28328,-2.16474,0.49181,0.18643,-2.18555,0.48441
129,1.28,0.22036,-2.21377,1.50288,0.22213,-2.24818,1.25433,0.23238,-2.0715,1.40104,0.2319,-2.0397,1.24921,0.04679,-2.14309,1.4655,-0.0273,-2.14126,1.1491,0.02144,-2.05114,0.91172,-0.02309,-2.10128,0.90341,-0.02315,-2.0538,0.83541,0.39896,-2.15979,1.47244,0.50267,-2.18141,1.15583,0.46877,-2.06698,0.93257,0.51294,-2.1078,0.9257,0.51108,-2.06842,0.86411,0.11146,-2.05544,0.98,0.37826,-2.07092,0.9819,0.18259,-2.21804,1.08792,0.26906,-2.22069,1.08789,0.0642,-2.13231,0.68146,0.08358,-2.16936,0.4948,0.06798,-2.19942,0.29627,0.10952,-2.18794,0.08943,0.14713,-2.23395,0.10726,0.16614,-2.03869,0.05152,0.40469,-2.15138,0.68399,0.38569,-2.16638,0.49425,0.39785,-2.18602,0.31761,0.35046,-2.18477,0.08868,0.30108,-2.22897,0.09663,0.31871,-2.02587,0.05131,0.39786,-2.08744,0.05696,0.08044,-2.08288,0.04148,0.28321,-2.16469,0.49178,0.18629,-2.1853,0.48443
130,1.29,0.22004,-2.21328,1.50297,0.2219,-2.24785,1.25445,0.23201,-2.07104,1.40105,0.23153,-2.03936,1.24918,0.04644,-2.1427,1.4655,-0.02755,-2.14114,1.14908,0.02122,-2.05114,0.91165,-0.02328,-2.10129,0.90334,-0.02333,-2.05387,0.83533,0.39861,-2.15922,1.47252,0.5024,-2.18082,1.15593,0.46849,-2.06652,0.93269,0.51264,-2.10722,0.92581,0.51077,-2.06783,0.86421,0.11106,-2.05539,0.98004,0.37789,-2.0707,0.98188,0.18234,-2.21788,1.08801,0.26881,-2.2205,1.08796,0.06394,-2.13224,0.6815,0.08343,-2.16918,0.49482,0.0679,-2.1993,0.29628,0.10951,-2.18794,0.08943,0.14712,-2.23394,0.10727,0.16613,-2.03869,0.05153,0.40448,-2.15118,0.68402,0.38562,-2.16623,0.49427,0.39787,-2.18591,0.31764,0.35049,-2.18475,0.08869,0.30113,-2.22899,0.09664,0.31871,-2.02589,0.05132,0.39782,-2.08739,0.05696,0.08044,-2.08288,0.04148,0.28313,-2.16462,0.49176,0.18614,-2.18506,0.48446
131,1.3,0.21969,-2.21276,1.50306,0.22164,-2.2475,1.25456,0.23161,-2.07057,1.40105,0.23115,-2.03899,1.24915,0.04607,-2.14229,1.46549,-0.02782,-2.14099,1.14905,0.02098,-2.05113,0.91159,-0.02348,-2.1013,0.90327,-0.02353,-2.05392,0.83524,0.39824,-2.15861,1.47261,0.50212,-2.18019,1.15605,0.46819,-2.06596,0.93286,0.51233,-2.10662,0.92593,0.51043,-2.06721,0.86431,0.11064,-2.05534,0.98007,0.3775,-2.07047,0.98185,0.18207,-2.21771,1.08811,0.26855,-2.22029,1.08803,0.06366,-2.13217,0.68153,0.08327,-2.16898,0.49483,0.06781,-2.19917,0.29628,0.1095,-2.18793,0.08943,0.14711,-2.23394,0.10727,0.16612,-2.03869,0.05154,0.40425,-2.15097,0.68404,0.38554,-2.16606,0.49429,0.39788,-2.18578,0.31767,0.35052,-2.18473,0.08869,0.30118,-2.22902,0.09665,0.31871,-2.02591,0.05133,0.39778,-2.08734,0.05695,0.08044,-2.08288,0.04148,0.28303,-2.16452,0.49173,0.186,-2.18482,0.48449
132,1.31,0.21932,-2.21222,1.50315,0.22137,-2.24713,1.25467,0.23119,-2.07007,1.40105,0.23074,-2.03861,1.24911,0.04567,-2.14186,1.46549,-0.02811,-2.14083,1.14902,0.02073,-2.05111,0.91152,-0.02368,-2.10129,0.9032,-0.02375,-2.05396,0.83515,0.39786,-2.15798,1.47271,0.50182,-2.17954,1.15617,0.46786,-2.06531,0.93308,0.51201,-2.10599,0.92605,0.51008,-2.06657,0.86441,0.11021,-2.05527,0.9801,0.37709,-2.07024,0.98182,0.18179,-2.21752,1.08821,0.26826,-2.22007,1.08811,0.06338,-2.13209,0.68156,0.0831,-2.16879,0.49485,0.06772,-2.19905,0.29628,0.10949,-2.18793,0.08943,0.1471,-2.23393,0.10727,0.16612,-2.0387,0.05156,0.40401,-2.15075,0.68407,0.38545,-2.16588,0.49431,0.39787,-2.18565,0.31771,0.35055,-2.18471,0.08869,0.30122,-2.22905,0.09665,0.31871,-2.02594,0.05134,0.39774,-2.08728,0.05696,0.08043,-2.08288,0.04148,0.28292,-2.16441,0.49171,0.18585,-2.18457,0.48453
133,1.32,0.21893,-2.21165,1.50324,0.22107,-2.24675,1.25479,0.23075,-2.06955,1.40104,0.23032,-2.03822,1.24907,0.04526,-2.1414,1.46547,-0.02841,-2.14066,1.14899,0.02047,-2.05108,0.91144,-0.0239,-2.10128,0.90314,-0.02398,-2.05397,0.83506,0.39745,-2.15732,1.4728,0.50151,-2.17886,1.15629,0.4675,-2.06457,0.93332,0.51166,-2.10533,0.92618,0.50971,-2.0659,0.86453,0.10978,-2.05518,0.98013,0.37666,-2.06999,0.98179,0.18148,-2.21732,1.08831,0.26795,-2.21983,1.08819,0.06309,-2.132,0.6816,0.08292,-2.16858,0.49486,0.06763,-2.19893,0.29628,0.10948,-2.18792,0.08943,0.14709,-2.23392,0.10728,0.16611,-2.0387,0.05157,0.40377,-2.15052,0.6841,0.38533,-2.16568,0.49433,0.39785,-2.18552,0.31775,0.35057,-2.18469,0.0887,0.30126,-2.22908,0.09666,0.31871,-2.02596,0.05136,0.3977,-2.08723,0.05697,0.08043,-2.08288,0.04148,0.2828,-2.16428,0.49169,0.1857,-2.18432,0.48457
134,1.33,0.21853,-2.21106,1.50333,0.22076,-2.24636,1.25491,0.23028,-2.06902,1.40102,0.22987,-2.03781,1.24901,0.04482,-2.14093,1.46546,-0.02874,-2.14047,1.14895,0.02019,-2.05104,0.91136,-0.02414,-2.10125,0.90307,-0.02423,-2.05398,0.83496,0.39702,-2.15663,1.4729,0.50118,-2.17814,1.15642,0.46712,-2.06378,0.93356,0.51129,-2.10464,0.9263,0.50931,-2.0652,0.86464,0.10933,-2.05508,0.98016,0.37622,-2.06972,0.98176,0.18116,-2.21711,1.08842,0.26763,-2.21959,1.08828,0.0628,-2.13191,0.68162,0.08274,-2.16837,0.49486,0.06754,-2.1988,0.29627,0.10948,-2.18791,0.08943,0.14708,-2.23391,0.10728,0.1661,-2.03871,0.05158,0.40351,-2.15028,0.68414,0.38519,-2.16547,0.49436,0.39781,-2.18537,0.31779,0.3506,-2.18468,0.08871,0.3013,-2.22911,0.09666,0.31871,-2.02598,0.05137,0.39766,-2.08718,0.05698,0.08043,-2.08289,0.04148,0.28265,-2.16413,0.49166,0.18554,-2.18407,0.48462
135,1.34,0.2181,-2.21044,1.50342,0.22043,-2.24594,1.25503,0.22979,-2.06847,1.40099,0.2294,-2.03739,1.24895,0.04435,-2.14044,1.46544,-0.02909,-2.14027,1.1489,0.01988,-2.05098,0.91128,-0.02439,-2.10122,0.90301,-0.0245,-2.05397,0.83486,0.39656,-2.15591,1.473,0.50083,-2.1774,1.15655,0.46671,-2.06297,0.93379,0.51089,-2.10394,0.92643,0.5089,-2.06447,0.86476,0.10887,-2.05496,0.98019,0.37576,-2.06944,0.98174,0.18082,-2.21688,1.08854,0.26729,-2.21932,1.08837,0.0625,-2.13181,0.68164,0.08254,-2.16815,0.49486,0.06744,-2.19868,0.29626,0.10947,-2.1879,0.08943,0.14707,-2.2339,0.10729,0.16609,-2.03871,0.0516,0.40323,-2.15004,0.68418,0.38503,-2.16525,0.49439,0.39774,-2.18523,0.31783,0.35061,-2.18466,0.08872,0.30133,-2.22914,0.09667,0.31871,-2.02601,0.05139,0.39761,-2.08713,0.05701,0.08042,-2.08289,0.04148,0.28248,-2.16396,0.49164,0.18537,-2.18381,0.48467
136,1.35,0.21765,-2.20979,1.50352,0.22008,-2.24551,1.25516,0.22927,-2.06791,1.40095,0.22891,-2.03696,1.24888,0.04386,-2.13993,1.46542,-0.02947,-2.14005,1.14886,0.01956,-2.0509,0.91119,-0.02467,-2.10118,0.90294,-0.02479,-2.05395,0.83476,0.39608,-2.15515,1.4731,0.50046,-2.17663,1.15668,0.46627,-2.06214,0.934,0.51048,-2.1032,0.92656,0.50846,-2.06372,0.86488,0.10839,-2.05482,0.98021,0.37527,-2.06916,0.98171,0.18046,-2.21664,1.08865,0.26693,-2.21904,1.08847,0.0622,-2.1317,0.68164,0.08233,-2.16793,0.49485,0.06734,-2.19856,0.29625,0.10945,-2.18789,0.08943,0.14705,-2.23389,0.1073,0.16608,-2.03872,0.05161,0.40293,-2.14979,0.68422,0.38484,-2.16502,0.49442,0.39765,-2.18508,0.31788,0.35062,-2.18464,0.08874,0.30135,-2.22916,0.09668,0.31871,-2.02603,0.0514,0.39757,-2.08708,0.05704,0.08042,-2.08289,0.04148,0.28229,-2.16377,0.49162,0.18519,-2.18356,0.48471
137,1.36,0.21719,-2.20911,1.50361,0.21971,-2.24506,1.25529,0.22872,-2.06732,1.40091,0.22838,-2.03651,1.2488,0.04335,-2.1394,1.4654,-0.02986,-2.13981,1.14881,0.0192,-2.0508,0.91109,-0.02497,-2.10113,0.90288,-0.02511,-2.05393,0.83465,0.39558,-2.15437,1.4732,0.50007,-2.17583,1.15682,0.46581,-2.0613,0.93419,0.51004,-2.10245,0.92669,0.50801,-2.06296,0.865,0.10789,-2.05468,0.98022,0.37476,-2.06888,0.98169,0.18008,-2.21637,1.08877,0.26655,-2.21874,1.08856,0.06188,-2.13157,0.68164,0.08212,-2.1677,0.49483,0.06723,-2.19844,0.29623,0.10944,-2.18787,0.08943,0.14704,-2.23388,0.10731,0.16606,-2.03872,0.05162,0.40262,-2.14953,0.68427,0.38463,-2.16479,0.49445,0.39753,-2.18493,0.31792,0.35063,-2.18462,0.08876,0.30137,-2.22918,0.09668,0.31872,-2.02605,0.05141,0.39753,-2.08704,0.05707,0.08041,-2.0829,0.04148,0.28208,-2.16356,0.4916,0.185,-2.18331,0.48476
138,1.37,0.2167,-2.2084,1.5037,0.21932,-2.24459,1.25542,0.22814,-2.06671,1.40086,0.22783,-2.03605,1.24871,0.04281,-2.13885,1.46537,-0.03029,-2.13956,1.14875,0.01883,-2.05069,0.91099,-0.02531,-2.10107,0.9028,-0.02544,-2.05389,0.83454,0.39506,-2.15355,1.4733,0.49966,-2.17502,1.15696,0.46532,-2.06047,0.93435,0.50959,-2.10167,0.92681,0.50753,-2.06217,0.86512,0.10736,-2.05452,0.98023,0.37423,-2.06861,0.98167,0.17968,-2.21608,1.08888,0.26614,-2.21842,1.08865,0.06155,-2.13143,0.68163,0.08189,-2.16748,0.49481,0.06712,-2.19832,0.29621,0.10943,-2.18786,0.08943,0.14702,-2.23386,0.10731,0.16605,-2.03873,0.05163,0.4023,-2.14927,0.68431,0.3844,-2.16455,0.49448,0.39739,-2.18479,0.31797,0.35062,-2.18461,0.08878,0.30137,-2.2292,0.09668,0.31872,-2.02606,0.05142,0.39749,-2.087,0.05711,0.08041,-2.0829,0.04148,0.28185,-2.16332,0.49157,0.18479,-2.18306,0.48479
139,1.38,0.21619,-2.20766,1.5038,0.2189,-2.2441,1.25556,0.22754,-2.06606,1.40081,0.22726,-2.03556,1.24863,0.04225,-2.13828,1.46535,-0.03073,-2.1393,1.1487,0.01843,-2.05057,0.91089,-0.02568,-2.10099,0.90273,-0.0258,-2.05385,0.83443,0.39451,-2.15269,1.4734,0.49923,-2.17417,1.1571,0.46481,-2.05964,0.93449,0.50911,-2.10088,0.92694,0.50704,-2.06136,0.86523,0.10681,-2.05435,0.98022,0.37366,-2.06836,0.98164,0.17925,-2.21576,1.08899,0.26571,-2.21808,1.08875,0.0612,-2.13128,0.68162,0.08166,-2.16726,0.49478,0.06699,-2.19818,0.29618,0.10941,-2.18783,0.08943,0.14699,-2.23384,0.10732,0.16603,-2.03874,0.05165,0.40195,-2.149,0.68434,0.38415,-2.1643,0.49451,0.39724,-2.18465,0.31802,0.35062,-2.1846,0.08879,0.30137,-2.22922,0.09668,0.31872,-2.02608,0.05142,0.39747,-2.08698,0.05715,0.08041,-2.0829,0.04148,0.2816,-2.16306,0.49154,0.18456,-2.18282,0.48482
140,1.39,0.21565,-2.2069,1.50389,0.21847,-2.24359,1.2557,0.2269,-2.06539,1.40076,0.22665,-2.03504,1.24854,0.04166,-2.13768,1.46532,-0.0312,-2.13901,1.14863,0.018,-2.05042,0.91079,-0.02608,-2.10089,0.90265,-0.02619,-2.0538,0.83431,0.39393,-2.15181,1.4735,0.49877,-2.1733,1.15724,0.46426,-2.05884,0.9346,0.50861,-2.10006,0.92705,0.50653,-2.06054,0.86534,0.10625,-2.05416,0.98021,0.37306,-2.06814,0.98161,0.1788,-2.21542,1.08911,0.26527,-2.21772,1.08883,0.06084,-2.13111,0.68159,0.08141,-2.16704,0.49475,0.06686,-2.19805,0.29615,0.10939,-2.18781,0.08942,0.14697,-2.23381,0.10732,0.16601,-2.03875,0.05166,0.40158,-2.14871,0.68438,0.38388,-2.16405,0.49453,0.39707,-2.18452,0.31807,0.3506,-2.1846,0.08881,0.30136,-2.22923,0.09666,0.31872,-2.02609,0.05143,0.39745,-2.08696,0.05719,0.0804,-2.08291,0.04149,0.28133,-2.16279,0.49151,0.18432,-2.18257,0.48485
141,1.4,0.21509,-2.2061,1.50397,0.21801,-2.24306,1.25584,0.22624,-2.06469,1.40071,0.22602,-2.03449,1.24845,0.04105,-2.13706,1.46528,-0.03169,-2.13872,1.14857,0.01755,-2.05026,0.91069,-0.02651,-2.10077,0.90257,-0.0266,-2.05372,0.83419,0.39332,-2.15088,1.4736,0.49829,-2.17241,1.15738,0.46368,-2.0581,0.93467,0.5081,-2.09923,0.92716,0.50599,-2.05971,0.86544,0.10566,-2.05397,0.98018,0.37242,-2.06793,0.98158,0.17833,-2.21505,1.08921,0.26479,-2.21735,1.08891,0.06046,-2.13093,0.68156,0.08115,-2.16681,0.49472,0.06671,-2.1979,0.29612,0.10937,-2.18777,0.08941,0.14694,-2.23378,0.10731,0.16599,-2.03876,0.05167,0.40119,-2.14841,0.68441,0.3836,-2.16379,0.49456,0.3969,-2.18438,0.31812,0.35059,-2.1846,0.08882,0.30134,-2.22925,0.09664,0.31871,-2.0261,0.05143,0.39744,-2.08696,0.05723,0.0804,-2.08291,0.04149,0.28105,-2.1625,0.49147,0.18406,-2.18231,0.48487
142,1.41,0.21451,-2.20528,1.50406,0.21752,-2.24251,1.25598,0.22555,-2.06395,1.40066,0.22535,-2.03393,1.24836,0.04041,-2.13641,1.46524,-0.03221,-2.1384,1.1485,0.01706,-2.05008,0.91058,-0.02696,-2.10064,0.90249,-0.02705,-2.05363,0.83406,0.39268,-2.14992,1.47369,0.49779,-2.17149,1.15751,0.46306,-2.05747,0.9347,0.50756,-2.09838,0.92727,0.50544,-2.05887,0.86554,0.10506,-2.05375,0.98015,0.37175,-2.06769,0.98155,0.17783,-2.21467,1.08931,0.26429,-2.21695,1.08899,0.06006,-2.13073,0.68153,0.08087,-2.16658,0.49469,0.06656,-2.19774,0.29608,0.10935,-2.18773,0.0894,0.14692,-2.23375,0.1073,0.16597,-2.03877,0.05169,0.40079,-2.1481,0.68445,0.3833,-2.16352,0.4946,0.39672,-2.18424,0.31818,0.35057,-2.18461,0.08883,0.30132,-2.22926,0.09662,0.31871,-2.02611,0.05143,0.39744,-2.08697,0.05728,0.0804,-2.08291,0.04149,0.28076,-2.16221,0.49143,0.18379,-2.18206,0.4849
143,1.42,0.2139,-2.20442,1.50415,0.217,-2.24193,1.25611,0.22483,-2.06319,1.4006,0.22465,-2.03334,1.24825,0.03974,-2.13573,1.4652,-0.03277,-2.13808,1.14843,0.01655,-2.04988,0.91048,-0.02744,-2.10048,0.90241,-0.02753,-2.05353,0.83394,0.39202,-2.14892,1.47377,0.49725,-2.17054,1.15765,0.46239,-2.05698,0.93468,0.50701,-2.09751,0.92737,0.50486,-2.05801,0.86564,0.10443,-2.0535,0.98011,0.37106,-2.06738,0.98153,0.17731,-2.21428,1.08939,0.26377,-2.21653,1.08905,0.05964,-2.13052,0.6815,0.08057,-2.16634,0.49466,0.0664,-2.19757,0.29604,0.10933,-2.18769,0.08938,0.14689,-2.23371,0.10729,0.16595,-2.03878,0.0517,0.40037,-2.14778,0.68449,0.38299,-2.16323,0.49463,0.39653,-2.18408,0.31824,0.35055,-2.18463,0.08884,0.3013,-2.22927,0.0966,0.3187,-2.02612,0.05143,0.39744,-2.08698,0.05732,0.0804,-2.08292,0.04149,0.28045,-2.16192,0.49139,0.1835,-2.18181,0.48492
144,1.43,0.21325,-2.20353,1.50423,0.21646,-2.24132,1.25624,0.22408,-2.0624,1.40053,0.22392,-2.03274,1.24814,0.03904,-2.13503,1.46514,-0.03335,-2.13773,1.14836,0.016,-2.04967,0.91037,-0.02794,-2.10031,0.90232,-0.02804,-2.05341,0.83381,0.39132,-2.14789,1.47386,0.4967,-2.16957,1.15779,0.46166,-2.0567,0.93459,0.50643,-2.09663,0.92747,0.50426,-2.05715,0.86572,0.10379,-2.05322,0.98007,0.37036,-2.067,0.98154,0.17676,-2.21387,1.08946,0.26322,-2.21608,1.08912,0.0592,-2.1303,0.68146,0.08026,-2.1661,0.49462,0.06624,-2.19739,0.29599,0.1093,-2.18764,0.08936,0.14685,-2.23366,0.10727,0.16593,-2.0388,0.05171,0.39993,-2.14745,0.68453,0.38267,-2.16293,0.49467,0.39634,-2.18392,0.3183,0.35053,-2.18464,0.08885,0.30127,-2.22928,0.09657,0.3187,-2.02613,0.05143,0.39744,-2.08699,0.05737,0.0804,-2.08292,0.04149,0.28014,-2.16161,0.49135,0.1832,-2.18156,0.48496
145,1.44,0.21258,-2.20261,1.50431,0.21589,-2.24069,1.25637,0.2233,-2.06157,1.40045,0.22316,-2.03212,1.24802,0.03832,-2.1343,1.46508,-0.03397,-2.13737,1.14829,0.01542,-2.04944,0.91025,-0.02847,-2.10011,0.90223,-0.02858,-2.05327,0.83367,0.3906,-2.14682,1.47393,0.49612,-2.16858,1.15792,0.46086,-2.05665,0.93443,0.50583,-2.09574,0.92757,0.50364,-2.05627,0.8658,0.10311,-2.05291,0.98004,0.36966,-2.06652,0.98156,0.17618,-2.21345,1.08951,0.26264,-2.21562,1.08917,0.05874,-2.13006,0.68142,0.07992,-2.16583,0.49458,0.06606,-2.1972,0.29594,0.10928,-2.18759,0.08933,0.14682,-2.23362,0.10726,0.16591,-2.03881,0.05173,0.39948,-2.1471,0.68458,0.38233,-2.16261,0.49471,0.39614,-2.18374,0.31837,0.35051,-2.18466,0.08886,0.30125,-2.2293,0.09654,0.31869,-2.02613,0.05143,0.39744,-2.087,0.05742,0.0804,-2.08293,0.04149,0.27981,-2.16128,0.49131,0.18288,-2.18131,0.48499
146,1.45,0.21188,-2.20165,1.50439,0.21529,-2.24003,1.25651,0.2225,-2.06072,1.40037,0.22237,-2.03148,1.24789,0.03756,-2.13354,1.46502,-0.03462,-2.13698,1.14822,0.01481,-2.04919,0.91013,-0.02903,-2.0999,0.90213,-0.02916,-2.05312,0.83354,0.38985,-2.14572,1.47401,0.49551,-2.16756,1.15807,0.46,-2.05684,0.93421,0.50521,-2.09484,0.92766,0.503,-2.05538,0.86588,0.10241,-2.05257,0.97999,0.36896,-2.06596,0.98159,0.17558,-2.21302,1.08955,0.26203,-2.21513,1.08923,0.05827,-2.1298,0.68138,0.07956,-2.16556,0.49454,0.06588,-2.197,0.29588,0.10925,-2.18754,0.08931,0.14678,-2.23357,0.10723,0.16589,-2.03883,0.05174,0.39901,-2.14673,0.68462,0.38199,-2.16226,0.49475,0.39593,-2.18356,0.31844,0.35049,-2.18467,0.08887,0.30123,-2.22931,0.09651,0.31868,-2.02614,0.05143,0.39745,-2.08702,0.05747,0.0804,-2.08294,0.04149,0.27946,-2.16093,0.49126,0.18254,-2.18107,0.48503
147,1.46,0.21115,-2.20067,1.50446,0.21467,-2.23934,1.25664,0.22166,-2.05984,1.40028,0.22155,-2.03082,1.24776,0.03677,-2.13275,1.46495,-0.0353,-2.13657,1.14814,0.01416,-2.04892,0.91001,-0.02962,-2.09967,0.90203,-0.02977,-2.05295,0.8334,0.38907,-2.14458,1.47408,0.49487,-2.16652,1.15821,0.45908,-2.05717,0.93395,0.50456,-2.09392,0.92775,0.50233,-2.05449,0.86594,0.10168,-2.05221,0.97995,0.36824,-2.06534,0.98163,0.17494,-2.21257,1.08959,0.2614,-2.21462,1.0893,0.05778,-2.12952,0.68133,0.07919,-2.16528,0.4945,0.06568,-2.1968,0.2958,0.10922,-2.18748,0.08928,0.14673,-2.23352,0.10721,0.16587,-2.03884,0.05176,0.39853,-2.14633,0.68467,0.38163,-2.1619,0.49479,0.39571,-2.18336,0.31851,0.35047,-2.18469,0.08888,0.30121,-2.22933,0.09648,0.31867,-2.02615,0.05143,0.39745,-2.08703,0.05753,0.0804,-2.08294,0.04149,0.2791,-2.16056,0.49123,0.18218,-2.18083,0.48506
148,1.47,0.21039,-2.19964,1.50454,0.21402,-2.23863,1.25677,0.22079,-2.05892,1.40019,0.2207,-2.03012,1.24763,0.03596,-2.13193,1.46488,-0.03602,-2.13614,1.14806,0.01347,-2.04864,0.90988,-0.03025,-2.09941,0.90191,-0.03041,-2.05276,0.83325,0.38826,-2.14341,1.47415,0.49422,-2.16546,1.15835,0.45816,-2.05745,0.9337,0.5039,-2.093,0.92784,0.50164,-2.05359,0.866,0.10092,-2.05185,0.97989,0.36751,-2.06467,0.98167,0.17429,-2.2121,1.08961,0.26074,-2.21408,1.08936,0.05727,-2.12922,0.68127,0.0788,-2.16498,0.49445,0.06546,-2.1966,0.29572,0.10919,-2.18742,0.08925,0.14669,-2.23348,0.10719,0.16585,-2.03886,0.05177,0.39803,-2.14591,0.68472,0.38126,-2.16151,0.49483,0.39547,-2.18316,0.31859,0.35045,-2.18471,0.08888,0.30118,-2.22935,0.09644,0.31866,-2.02617,0.05143,0.39745,-2.08705,0.05759,0.08041,-2.08295,0.04149,0.27872,-2.16016,0.49119,0.18181,-2.18059,0.48509
149,1.48,0.2096,-2.19859,1.50461,0.21334,-2.23789,1.2569,0.2199,-2.05798,1.4001,0.21982,-2.02939,1.2475,0.03511,-2.13108,1.46482,-0.03676,-2.13567,1.14798,0.01275,-2.04833,0.90975,-0.03091,-2.09914,0.90179,-0.03109,-2.05255,0.8331,0.38742,-2.1422,1.47422,0.49353,-2.16438,1.1585,0.45726,-2.05742,0.93352,0.50321,-2.09207,0.92793,0.50093,-2.05268,0.86606,0.10014,-2.05147,0.97983,0.36676,-2.06397,0.98172,0.1736,-2.2116,1.08964,0.26006,-2.21351,1.08943,0.05674,-2.1289,0.6812,0.07839,-2.16467,0.49439,0.06523,-2.19639,0.29563,0.10915,-2.18737,0.08922,0.14664,-2.23343,0.10716,0.16583,-2.03888,0.05179,0.39751,-2.14546,0.68476,0.38088,-2.16111,0.49488,0.39522,-2.18294,0.31867,0.35043,-2.18473,0.08889,0.30116,-2.22937,0.0964,0.31865,-2.02618,0.05143,0.39745,-2.08707,0.05765,0.08041,-2.08296,0.04149,0.27832,-2.15973,0.49116,0.18141,-2.18034,0.48512
