Frame#,Time,C7,,,T10,,,CLAV,,,STRN,,,LSHO,,,LELB,,,LWRA,,,LWRB,,,LFIN,,,RSHO,,,RELB,,,RWRA,,,RWRB,,,RFIN,,,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,LTIB,,,LANK,,,LHEE,,,LTOE,,,RTHI,,,RKNE,,,RTIB,,,RANK,,,RHEE,,,RTOE,,,RPINKY,,,LPINKY,,,INRKNE,,,INLKNE,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.08,0.22539,-2.21888,1.50118,0.2248,-2.25028,1.25206,0.23918,-2.07345,1.40269,0.23807,-2.03951,1.25132,0.05307,-2.1443,1.46677,-0.02424,-2.13711,1.15137,0.02372,-2.04509,0.91453,-0.02193,-2.09427,0.90605,-0.02166,-2.0459,0.83864,0.40458,-2.16632,1.47099,0.50798,-2.18688,1.15432,0.47569,-2.06973,0.93267,0.51906,-2.11148,0.92469,0.51797,-2.07112,0.86354,0.11844,-2.0504,0.97879,0.38485,-2.07141,0.98299,0.18554,-2.21514,1.08619,0.27233,-2.21869,1.08724,0.06903,-2.12937,0.68072,0.08629,-2.16999,0.49454,0.06952,-2.19993,0.2966,0.10979,-2.18793,0.08942,0.14746,-2.23392,0.10717,0.16632,-2.03855,0.05126,0.40827,-2.14917,0.68333,0.38657,-2.16275,0.49392,0.39695,-2.18428,0.31739,0.3499,-2.1847,0.0889,0.30019,-2.2279,0.09677,0.31868,-2.02499,0.05092,0.39877,-2.08813,0.05709,0.08036,-2.08288,0.04142,0.28417,-2.15972,0.4923,0.18867,-2.18683,0.48377
10,0.09,0.22536,-2.2189,1.50117,0.22476,-2.25028,1.25206,0.23914,-2.07351,1.40266,0.23804,-2.03954,1.2513,0.05303,-2.14435,1.46675,-0.02426,-2.13716,1.15135,0.0237,-2.04512,0.91451,-0.02194,-2.0943,0.90602,-0.02167,-2.04593,0.83862,0.40455,-2.16636,1.47097,0.5079,-2.18687,1.15429,0.47557,-2.06963,0.93269,0.51894,-2.11141,0.92468,0.51783,-2.07102,0.86353,0.11841,-2.0504,0.97879,0.38483,-2.07144,0.98299,0.1855,-2.21516,1.08619,0.27229,-2.21869,1.08724,0.06901,-2.12937,0.68071,0.08627,-2.16999,0.49454,0.06951,-2.19993,0.29659,0.10979,-2.18793,0.08941,0.14746,-2.23392,0.10717,0.16632,-2.03855,0.05126,0.40825,-2.1492,0.68333,0.38655,-2.16278,0.49392,0.39694,-2.18429,0.31739,0.3499,-2.18469,0.0889,0.30019,-2.2279,0.09677,0.31868,-2.025,0.05092,0.39876,-2.08811,0.05709,0.08036,-2.08288,0.04142,0.28415,-2.15974,0.4923,0.18865,-2.18684,0.48377
11,0.1,0.22533,-2.21891,1.50117,0.22473,-2.25028,1.25205,0.23911,-2.07357,1.40262,0.23802,-2.03957,1.25129,0.053,-2.1444,1.46674,-0.02427,-2.13721,1.15133,0.02368,-2.04515,0.91449,-0.02195,-2.09435,0.906,-0.02169,-2.04598,0.8386,0.40452,-2.16639,1.47095,0.50782,-2.18686,1.15426,0.47544,-2.06954,0.9327,0.51882,-2.11135,0.92467,0.51768,-2.07093,0.86353,0.11839,-2.05041,0.97879,0.38481,-2.07146,0.98299,0.18547,-2.21517,1.08619,0.27225,-2.2187,1.08723,0.06899,-2.12938,0.68071,0.08624,-2.17,0.49453,0.06949,-2.19994,0.29659,0.10979,-2.18793,0.08941,0.14746,-2.23392,0.10717,0.16632,-2.03855,0.05126,0.40823,-2.14923,0.68334,0.38653,-2.16281,0.49392,0.39692,-2.1843,0.31739,0.3499,-2.18469,0.0889,0.30019,-2.2279,0.09677,0.31867,-2.025,0.05092,0.39875,-2.0881,0.05709,0.08036,-2.08288,0.04142,0.28414,-2.15976,0.4923,0.18863,-2.18684,0.48377
12,0.11,0.2253,-2.21893,1.50117,0.2247,-2.25028,1.25205,0.23908,-2.07363,1.40259,0.23799,-2.03961,1.25127,0.05297,-2.14444,1.46673,-0.02429,-2.13726,1.15131,0.02366,-2.04519,0.91447,-0.02195,-2.0944,0.90598,-0.0217,-2.04603,0.83858,0.40449,-2.16642,1.47094,0.50774,-2.18686,1.15423,0.47532,-2.06944,0.93272,0.5187,-2.11128,0.92466,0.51754,-2.07083,0.86352,0.11836,-2.05042,0.97879,0.38479,-2.07148,0.98299,0.18543,-2.2152,1.08619,0.27221,-2.21872,1.08723,0.06897,-2.12939,0.6807,0.08622,-2.17001,0.49453,0.06947,-2.19995,0.29658,0.10979,-2.18793,0.08941,0.14746,-2.23392,0.10717,0.16632,-2.03855,0.05126,0.40821,-2.14925,0.68334,0.38651,-2.16282,0.49392,0.39691,-2.18431,0.31739,0.3499,-2.18468,0.08891,0.30019,-2.22791,0.09677,0.31867,-2.025,0.05093,0.39874,-2.0881,0.0571,0.08036,-2.08288,0.04141,0.28412,-2.15977,0.4923,0.18862,-2.18685,0.48377
13,0.12,0.22528,-2.21895,1.50117,0.22468,-2.25029,1.25205,0.23906,-2.07369,1.40256,0.23797,-2.03965,1.25125,0.05294,-2.14449,1.46671,-0.0243,-2.13732,1.1513,0.02364,-2.04523,0.91445,-0.02196,-2.09445,0.90596,-0.02171,-2.04608,0.83857,0.40447,-2.16645,1.47092,0.50767,-2.18685,1.1542,0.4752,-2.06935,0.93275,0.51858,-2.11122,0.92465,0.5174,-2.07073,0.86352,0.11833,-2.05044,0.97879,0.38476,-2.07149,0.98299,0.1854,-2.21522,1.08619,0.27217,-2.21874,1.08723,0.06894,-2.12941,0.6807,0.08621,-2.17002,0.49453,0.06946,-2.19996,0.29657,0.10978,-2.18793,0.08941,0.14745,-2.23392,0.10716,0.16633,-2.03855,0.05126,0.40819,-2.14927,0.68334,0.38649,-2.16283,0.49392,0.39689,-2.18432,0.31739,0.3499,-2.18468,0.08891,0.30019,-2.22791,0.09677,0.31867,-2.025,0.05093,0.39873,-2.08809,0.0571,0.08036,-2.08287,0.04141,0.2841,-2.15978,0.49229,0.1886,-2.18685,0.48377
14,0.13,0.22527,-2.21896,1.50117,0.22466,-2.2503,1.25205,0.23903,-2.07375,1.40252,0.23794,-2.0397,1.25123,0.05292,-2.14454,1.4667,-0.02431,-2.13739,1.15128,0.02363,-2.04529,0.91444,-0.02196,-2.09451,0.90595,-0.02172,-2.04614,0.83856,0.40445,-2.16648,1.47091,0.50759,-2.18685,1.15417,0.47508,-2.06927,0.93277,0.51847,-2.11115,0.92465,0.51726,-2.07063,0.86352,0.1183,-2.05047,0.97878,0.38474,-2.07151,0.983,0.18538,-2.21525,1.08619,0.27214,-2.21876,1.08722,0.06892,-2.12943,0.68069,0.08619,-2.17003,0.49452,0.06944,-2.19997,0.29657,0.10978,-2.18793,0.08941,0.14745,-2.23392,0.10716,0.16633,-2.03855,0.05126,0.40817,-2.14928,0.68335,0.38648,-2.16284,0.49392,0.39687,-2.18432,0.31739,0.34989,-2.18469,0.08891,0.30018,-2.22791,0.09676,0.31867,-2.025,0.05093,0.39874,-2.0881,0.05711,0.08036,-2.08287,0.04141,0.28409,-2.15978,0.4923,0.18859,-2.18685,0.48377
15,0.14,0.22525,-2.21898,1.50118,0.22464,-2.25032,1.25206,0.23901,-2.07381,1.40249,0.23792,-2.03975,1.25121,0.0529,-2.14459,1.46669,-0.02432,-2.13745,1.15127,0.02361,-2.04534,0.91442,-0.02197,-2.09458,0.90593,-0.02173,-2.04621,0.83855,0.40443,-2.16651,1.4709,0.50753,-2.18684,1.15414,0.47496,-2.0692,0.93279,0.51836,-2.11109,0.92464,0.51712,-2.07054,0.86351,0.11826,-2.05051,0.97877,0.38471,-2.07153,0.983,0.18535,-2.21528,1.08619,0.2721,-2.21879,1.08722,0.06889,-2.12945,0.68069,0.08617,-2.17005,0.49452,0.06943,-2.19998,0.29656,0.10978,-2.18793,0.08941,0.14745,-2.23392,0.10716,0.16633,-2.03855,0.05126,0.40815,-2.14928,0.68335,0.38646,-2.16284,0.49392,0.39685,-2.18433,0.31739,0.34989,-2.18469,0.0889,0.30018,-2.22791,0.09675,0.31867,-2.025,0.05093,0.39874,-2.0881,0.05711,0.08036,-2.08287,0.04141,0.28407,-2.15978,0.4923,0.18857,-2.18686,0.48377
16,0.15,0.22525,-2.219,1.50118,0.22463,-2.25034,1.25206,0.23899,-2.07388,1.40246,0.2379,-2.0398,1.25118,0.05288,-2.14464,1.46668,-0.02433,-2.13753,1.15126,0.0236,-2.0454,0.91441,-0.02197,-2.09465,0.90592,-0.02174,-2.04628,0.83854,0.40442,-2.16654,1.47089,0.50746,-2.18683,1.15411,0.47485,-2.06913,0.9328,0.51825,-2.11102,0.92463,0.51698,-2.07045,0.86351,0.11823,-2.05055,0.97876,0.38468,-2.07155,0.983,0.18532,-2.21532,1.08619,0.27207,-2.21882,1.08721,0.06887,-2.12947,0.68069,0.08615,-2.17006,0.49452,0.06942,-2.19999,0.29656,0.10978,-2.18794,0.0894,0.14745,-2.23393,0.10715,0.16633,-2.03855,0.05126,0.40813,-2.14928,0.68335,0.38643,-2.16283,0.49392,0.39683,-2.18433,0.31739,0.34989,-2.1847,0.0889,0.30017,-2.22792,0.09674,0.31867,-2.025,0.05093,0.39875,-2.08811,0.05712,0.08036,-2.08287,0.04141,0.28406,-2.15978,0.4923,0.18856,-2.18687,0.48378
17,0.16,0.22524,-2.21903,1.50119,0.22463,-2.25037,1.25207,0.23897,-2.07394,1.40243,0.23788,-2.03985,1.25116,0.05286,-2.14469,1.46667,-0.02433,-2.1376,1.15124,0.02359,-2.04547,0.91439,-0.02197,-2.09472,0.90591,-0.02175,-2.04636,0.83853,0.4044,-2.16657,1.47087,0.5074,-2.18682,1.15408,0.47475,-2.06907,0.93282,0.51815,-2.11096,0.92462,0.51685,-2.07037,0.8635,0.11819,-2.05059,0.97876,0.38464,-2.07156,0.983,0.1853,-2.21536,1.08618,0.27204,-2.21886,1.0872,0.06884,-2.1295,0.68069,0.08614,-2.17008,0.49452,0.06942,-2.2,0.29655,0.10978,-2.18794,0.0894,0.14744,-2.23393,0.10715,0.16633,-2.03855,0.05126,0.40811,-2.14927,0.68335,0.38641,-2.16282,0.49392,0.39682,-2.18432,0.31739,0.34988,-2.18471,0.08889,0.30017,-2.22792,0.09673,0.31867,-2.02501,0.05093,0.39876,-2.08813,0.05712,0.08035,-2.08287,0.04141,0.28404,-2.15978,0.4923,0.18854,-2.18688,0.48378
18,0.17,0.22524,-2.21905,1.50119,0.22463,-2.2504,1.25207,0.23895,-2.074,1.4024,0.23786,-2.0399,1.25114,0.05285,-2.14475,1.46667,-0.02433,-2.13768,1.15123,0.02357,-2.04555,0.91437,-0.02197,-2.0948,0.9059,-0.02176,-2.04644,0.83852,0.40439,-2.16659,1.47086,0.50734,-2.18681,1.15404,0.47464,-2.06902,0.93283,0.51805,-2.1109,0.92461,0.51672,-2.0703,0.86349,0.11816,-2.05063,0.97875,0.38461,-2.07157,0.983,0.18528,-2.2154,1.08618,0.27201,-2.2189,1.08719,0.06882,-2.12953,0.68069,0.08612,-2.1701,0.49452,0.06941,-2.20002,0.29655,0.10977,-2.18795,0.0894,0.14744,-2.23394,0.10715,0.16633,-2.03855,0.05126,0.40809,-2.14927,0.68335,0.3864,-2.16281,0.49392,0.3968,-2.18432,0.31739,0.34988,-2.18472,0.08889,0.30016,-2.22792,0.09672,0.31867,-2.02501,0.05093,0.39877,-2.08814,0.05712,0.08035,-2.08287,0.04141,0.28402,-2.15978,0.49229,0.18853,-2.18689,0.48378
