Frame#,Time,C7,,,T10,,,CLAV,,,STRN,,,LSHO,,,LELB,,,LWRA,,,LWRB,,,LFIN,,,RSHO,,,RELB,,,RWRA,,,RWRB,,,RFIN,,,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,LTIB,,,LANK,,,LHEE,,,LTOE,,,RTHI,,,RKNE,,,RTIB,,,RANK,,,RHEE,,,RTOE,,,RPINKY,,,LPINKY,,,INRKNE,,,INLKNE,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.08,0.21354,-2.15875,1.50411,0.20936,-2.1989,1.25604,0.22901,-2.01842,1.39902,0.22605,-1.98957,1.24653,0.04337,-2.08371,1.47031,-0.03655,-2.07014,1.15581,0.01586,-1.97224,0.92218,-0.03139,-2.01933,0.91226,-0.02963,-1.96891,0.84676,0.39307,-2.1121,1.46899,0.49411,-2.14285,1.15272,0.46127,-2.02998,0.92903,0.50441,-2.07169,0.9217,0.50324,-2.03215,0.85983,0.1021,-2.00443,0.97826,0.36827,-2.02851,0.98191,0.16843,-2.16627,1.08855,0.255,-2.17281,1.08836,0.05002,-2.08393,0.6812,0.06618,-2.12457,0.495,0.04836,-2.15627,0.29691,0.08672,-2.14543,0.08949,0.12607,-2.19498,0.10659,0.13906,-1.99489,0.05063,0.3884,-2.10885,0.68296,0.3661,-2.1225,0.49291,0.37373,-2.14818,0.31755,0.32251,-2.13899,0.07229,0.27736,-2.19258,0.09301,0.30106,-1.98437,0.0504,0.35616,-2.03789,0.03208,0.05428,-2.04149,0.04141,0.26364,-2.11608,0.49186,0.16894,-2.14002,0.48337
10,0.09,0.21371,-2.15849,1.50411,0.20946,-2.19871,1.25607,0.22923,-2.01823,1.39897,0.22626,-1.98943,1.24646,0.04356,-2.08337,1.47031,-0.03636,-2.06965,1.15583,0.01621,-1.97128,0.92239,-0.03101,-2.01849,0.91236,-0.02921,-1.96797,0.84693,0.39326,-2.11195,1.46896,0.4943,-2.14274,1.15271,0.46151,-2.03011,0.92894,0.50469,-2.0716,0.92167,0.50356,-2.03206,0.85979,0.10227,-2.00436,0.9782,0.36843,-2.02852,0.98186,0.16856,-2.16615,1.08858,0.25512,-2.17272,1.08838,0.05009,-2.08391,0.68119,0.06623,-2.12458,0.49499,0.04835,-2.15628,0.29691,0.08671,-2.14544,0.08948,0.12605,-2.19499,0.10659,0.13905,-1.9949,0.05063,0.38852,-2.1089,0.68295,0.36619,-2.12255,0.4929,0.37379,-2.14822,0.31754,0.32251,-2.13901,0.07228,0.27736,-2.19259,0.09301,0.30107,-1.98438,0.05041,0.35616,-2.03791,0.03207,0.05427,-2.04149,0.04141,0.26372,-2.11611,0.49187,0.16898,-2.14008,0.48335
11,0.1,0.21387,-2.15824,1.50411,0.20957,-2.19853,1.25609,0.22945,-2.01806,1.39891,0.22647,-1.98931,1.24639,0.04375,-2.08304,1.47031,-0.03618,-2.06918,1.15584,0.01656,-1.97032,0.92262,-0.03064,-2.01766,0.91246,-0.02878,-1.96704,0.8471,0.39346,-2.1118,1.46893,0.49448,-2.14264,1.1527,0.46175,-2.03027,0.92885,0.50497,-2.07152,0.92164,0.50386,-2.03199,0.85976,0.10244,-2.0043,0.97815,0.36859,-2.02852,0.98181,0.16869,-2.16604,1.0886,0.25525,-2.17263,1.0884,0.05017,-2.08389,0.68118,0.06629,-2.1246,0.49499,0.04836,-2.1563,0.29692,0.0867,-2.14545,0.08948,0.12604,-2.195,0.10658,0.13905,-1.99491,0.05063,0.38864,-2.10896,0.68293,0.36628,-2.12261,0.49289,0.37384,-2.14827,0.31754,0.32251,-2.13902,0.07227,0.27735,-2.1926,0.093,0.30108,-1.98439,0.05041,0.35615,-2.03792,0.03206,0.05427,-2.04149,0.04141,0.26379,-2.11613,0.49187,0.16902,-2.14014,0.48332
12,0.11,0.21403,-2.158,1.50412,0.20968,-2.19835,1.25611,0.22967,-2.01789,1.39886,0.22668,-1.9892,1.24632,0.04394,-2.0827,1.47031,-0.03603,-2.06872,1.15584,0.0169,-1.96939,0.92284,-0.03027,-2.01684,0.91256,-0.02835,-1.96611,0.84726,0.39365,-2.11165,1.4689,0.49465,-2.14254,1.15269,0.46198,-2.03044,0.92875,0.50524,-2.07145,0.92161,0.50416,-2.03195,0.85973,0.10262,-2.00423,0.9781,0.36875,-2.02852,0.98176,0.16884,-2.16592,1.08863,0.25539,-2.17254,1.08842,0.05026,-2.08388,0.68117,0.06636,-2.12463,0.49499,0.04839,-2.15633,0.29692,0.0867,-2.14546,0.08948,0.12604,-2.19501,0.10659,0.13904,-1.99492,0.05063,0.38876,-2.10902,0.68291,0.36636,-2.12268,0.49288,0.3739,-2.14832,0.31753,0.3225,-2.13904,0.07226,0.27734,-2.19261,0.093,0.30108,-1.9844,0.05042,0.35615,-2.03794,0.03205,0.05426,-2.04149,0.04141,0.26387,-2.11615,0.49188,0.16909,-2.14019,0.4833
13,0.12,0.21419,-2.15776,1.50412,0.20981,-2.19818,1.25614,0.22988,-2.01772,1.39881,0.22688,-1.9891,1.24625,0.04412,-2.08237,1.4703,-0.03589,-2.06827,1.15584,0.01724,-1.96848,0.92306,-0.02991,-2.01602,0.91266,-0.02792,-1.96519,0.84742,0.39384,-2.11149,1.46889,0.49482,-2.14245,1.15268,0.46223,-2.0306,0.92865,0.5055,-2.07138,0.92158,0.50445,-2.03191,0.8597,0.10279,-2.00417,0.97806,0.36891,-2.02852,0.98171,0.16899,-2.16581,1.08865,0.25553,-2.17245,1.08843,0.05037,-2.08387,0.68117,0.06644,-2.12465,0.49499,0.04842,-2.15636,0.29693,0.0867,-2.14547,0.08949,0.12604,-2.19501,0.10659,0.13904,-1.99493,0.05063,0.38888,-2.10908,0.68289,0.36645,-2.12274,0.49287,0.37395,-2.14837,0.31752,0.32249,-2.13905,0.07225,0.27733,-2.19262,0.09299,0.30109,-1.98441,0.05043,0.35614,-2.03795,0.03204,0.05427,-2.04149,0.04141,0.26394,-2.11617,0.49189,0.16916,-2.14023,0.48327
14,0.13,0.21434,-2.15753,1.50413,0.20995,-2.19801,1.25617,0.23009,-2.01755,1.39876,0.22708,-1.98899,1.24619,0.0443,-2.08205,1.4703,-0.03576,-2.06783,1.15584,0.01759,-1.96762,0.92328,-0.02955,-2.0152,0.91276,-0.02749,-1.96428,0.84758,0.39403,-2.11134,1.46888,0.495,-2.14236,1.15267,0.46248,-2.03073,0.92857,0.50574,-2.07133,0.92156,0.50473,-2.03189,0.85969,0.10297,-2.0041,0.97803,0.36907,-2.02851,0.98166,0.16914,-2.1657,1.08867,0.25568,-2.17236,1.08844,0.05049,-2.08386,0.68116,0.06654,-2.12467,0.49499,0.04848,-2.15639,0.29694,0.08671,-2.14547,0.0895,0.12606,-2.19501,0.10661,0.13904,-1.99493,0.05063,0.38899,-2.10913,0.68287,0.36653,-2.12279,0.49286,0.374,-2.14842,0.31751,0.32247,-2.13905,0.07224,0.27731,-2.19262,0.09299,0.30109,-1.98441,0.05044,0.35613,-2.03796,0.03203,0.05427,-2.04149,0.04141,0.26402,-2.11619,0.4919,0.16925,-2.14026,0.48324
15,0.14,0.2145,-2.15731,1.50414,0.2101,-2.19784,1.25619,0.2303,-2.01739,1.39871,0.22728,-1.98889,1.24613,0.04448,-2.08173,1.47028,-0.03563,-2.06738,1.15584,0.01793,-1.96678,0.92349,-0.02919,-2.01438,0.91285,-0.02706,-1.96338,0.84773,0.39421,-2.11117,1.46888,0.49517,-2.14228,1.15267,0.46275,-2.03081,0.92852,0.50597,-2.07129,0.92155,0.505,-2.03187,0.85968,0.10314,-2.00404,0.97801,0.36923,-2.02848,0.98161,0.1693,-2.16558,1.0887,0.25583,-2.17227,1.08844,0.05063,-2.08384,0.68116,0.06665,-2.12469,0.495,0.04854,-2.15643,0.29695,0.08673,-2.14547,0.08951,0.12608,-2.19501,0.10662,0.13904,-1.99494,0.05064,0.3891,-2.10918,0.68285,0.36662,-2.12285,0.49285,0.37405,-2.14846,0.3175,0.32246,-2.13906,0.07223,0.27729,-2.19262,0.09298,0.3011,-1.98441,0.05044,0.35612,-2.03797,0.03201,0.05428,-2.04149,0.04142,0.26409,-2.1162,0.4919,0.16935,-2.14027,0.48322
16,0.15,0.21466,-2.1571,1.50415,0.21026,-2.19768,1.25622,0.2305,-2.01723,1.39866,0.22748,-1.98879,1.24607,0.04466,-2.08143,1.47027,-0.0355,-2.06694,1.15585,0.01826,-1.96596,0.9237,-0.02885,-2.01357,0.91295,-0.02664,-1.96248,0.84788,0.39439,-2.11101,1.46888,0.49535,-2.1422,1.15267,0.46302,-2.03084,0.92848,0.50619,-2.07126,0.92154,0.50525,-2.03186,0.85968,0.10332,-2.00399,0.978,0.36939,-2.02844,0.98156,0.16946,-2.16546,1.08873,0.25599,-2.17219,1.08845,0.05078,-2.08382,0.68116,0.06676,-2.12469,0.49501,0.04861,-2.15646,0.29697,0.08675,-2.14547,0.08953,0.12611,-2.195,0.10665,0.13904,-1.99493,0.05064,0.3892,-2.10922,0.68283,0.36671,-2.1229,0.49284,0.37411,-2.14851,0.31748,0.32245,-2.13906,0.07221,0.27727,-2.19261,0.09297,0.3011,-1.98441,0.05045,0.35612,-2.03797,0.032,0.05429,-2.04149,0.04142,0.26417,-2.11622,0.49191,0.16946,-2.14026,0.48319
17,0.16,0.21481,-2.1569,1.50416,0.21042,-2.19752,1.25625,0.23069,-2.01707,1.39862,0.22768,-1.98867,1.24603,0.04484,-2.08115,1.47025,-0.03537,-2.0665,1.15585,0.01859,-1.96516,0.92391,-0.02851,-2.01275,0.91303,-0.02623,-1.96158,0.84804,0.39457,-2.11084,1.46888,0.49554,-2.14213,1.15268,0.46329,-2.03083,0.92847,0.5064,-2.07124,0.92154,0.5055,-2.03186,0.85968,0.1035,-2.00394,0.97801,0.36954,-2.02838,0.98152,0.16962,-2.16534,1.08877,0.25615,-2.1721,1.08845,0.05093,-2.08379,0.68117,0.06688,-2.12468,0.49502,0.0487,-2.1565,0.29698,0.08677,-2.14547,0.08955,0.12614,-2.19499,0.10667,0.13904,-1.99493,0.05064,0.38929,-2.10925,0.6828,0.3668,-2.12294,0.49283,0.37417,-2.14855,0.31746,0.32244,-2.13906,0.07219,0.27726,-2.19261,0.09296,0.30111,-1.9844,0.05045,0.35611,-2.03797,0.03198,0.0543,-2.04149,0.04143,0.26426,-2.11623,0.49191,0.16958,-2.14023,0.48318
18,0.17,0.21497,-2.1567,1.50417,0.2106,-2.19737,1.25628,0.23088,-2.01691,1.39858,0.22787,-1.98854,1.24599,0.04503,-2.08089,1.47023,-0.03524,-2.06607,1.15586,0.0189,-1.96436,0.92412,-0.02819,-2.01193,0.91312,-0.02583,-1.96068,0.8482,0.39474,-2.11068,1.46889,0.49573,-2.14205,1.15269,0.46355,-2.0308,0.92847,0.50659,-2.07124,0.92154,0.50573,-2.03185,0.85968,0.10367,-2.00389,0.97802,0.3697,-2.0283,0.98148,0.16978,-2.16522,1.08881,0.25632,-2.17201,1.08845,0.05109,-2.08376,0.68118,0.06701,-2.12466,0.49504,0.04878,-2.15652,0.297,0.0868,-2.14546,0.08958,0.12618,-2.19497,0.1067,0.13904,-1.99492,0.05065,0.38938,-2.10928,0.68278,0.3669,-2.12299,0.49282,0.37424,-2.14859,0.31744,0.32243,-2.13905,0.07217,0.27726,-2.1926,0.09294,0.30112,-1.98438,0.05045,0.3561,-2.03796,0.03196,0.05431,-2.04148,0.04144,0.26435,-2.11625,0.49191,0.1697,-2.14018,0.48316
