PathFileType,4,(X/Y/Z),C:\Users\0gawa\Desktop\test0626\warkr3_Cortex\warkr3.trc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,614,34,m,100,1,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame#,Time,C7,,,T10,,,CLAV,,,STRN,,,LSHO,,,LELB,,,LWRA,,,LWRB,,,LFIN,,,RSHO,,,RELB,,,RWRA,,,RWRB,,,RFIN,,,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,LTIB,,,LANK,,,LHEE,,,LTOE,,,RTHI,,,RKNE,,,RTIB,,,RANK,,,RHEE,,,RTOE,,,RPINKY,,,LPINKY,,,INRKNE,,,INLKNE,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0.19217,-2.08912,1.49721,0.19222,-2.11229,1.24744,0.20219,-1.94247,1.4012,0.20099,-1.90412,1.25033,0.01738,-2.01906,1.46184,-0.06186,-2.0133,1.14707,-0.02489,-1.91536,0.90986,-0.06541,-1.96892,0.90228,-0.07047,-1.92239,0.83413,0.3699,-2.03287,1.46888,0.4785,-2.05613,1.15458,0.44401,-1.94359,0.93059,0.48858,-1.98402,0.92368,0.48663,-1.94461,0.86176,0.08258,-1.91609,0.97429,0.34968,-1.9336,0.97876,0.1528,-2.07802,1.08551,0.2396,-2.07993,1.0867,0.03731,-2.00609,0.67831,0.05754,-2.05234,0.49358,0.04427,-2.08665,0.29608,0.08538,-2.07639,0.08893,0.12852,-2.12659,0.09934,0.1325,-1.92361,0.04956,0.37519,-2.02116,0.68209,0.35385,-2.04057,0.49361,0.36446,-2.06353,0.31789,0.31592,-2.0552,0.08962,0.27452,-2.10717,0.10798,0.28146,-1.90003,0.04934,0.35037,-1.95331,0.0417,0.04955,-1.97427,0.04127,0.2517,-2.04038,0.49132,0.1608,-2.06349,0.4838
2,0.01,0.19218,-2.08922,1.4972,0.19221,-2.11234,1.24743,0.20219,-1.94251,1.40123,0.20098,-1.90415,1.25036,0.01738,-2.01914,1.46186,-0.06185,-2.0133,1.1471,-0.02484,-1.91528,0.90992,-0.06536,-1.96884,0.90231,-0.07042,-1.92227,0.83418,0.36991,-2.03293,1.46888,0.47845,-2.05611,1.15456,0.44389,-1.94347,0.93064,0.48845,-1.98391,0.92368,0.48648,-1.94444,0.86179,0.08256,-1.91611,0.9743,0.34965,-1.93359,0.97876,0.15278,-2.07806,1.08551,0.23957,-2.07997,1.08669,0.03729,-2.00612,0.67831,0.05753,-2.05235,0.49357,0.04426,-2.08666,0.29608,0.08539,-2.07638,0.08892,0.12852,-2.12659,0.09934,0.13249,-1.9236,0.04955,0.37517,-2.02117,0.68209,0.35384,-2.04057,0.49361,0.36443,-2.06354,0.31789,0.31592,-2.05517,0.08962,0.27451,-2.10716,0.10799,0.28146,-1.90002,0.04933,0.35037,-1.9533,0.04171,0.04955,-1.97426,0.04126,0.25168,-2.04038,0.49133,0.16079,-2.06351,0.48381
3,0.02,0.19219,-2.08931,1.49719,0.1922,-2.11239,1.24741,0.20219,-1.94255,1.40126,0.20097,-1.90418,1.25039,0.01739,-2.01921,1.46189,-0.06183,-2.0133,1.14713,-0.0248,-1.9152,0.90999,-0.06532,-1.96876,0.90233,-0.07036,-1.92215,0.83424,0.36993,-2.03299,1.46888,0.47839,-2.05609,1.15454,0.44377,-1.94335,0.93069,0.48833,-1.9838,0.92369,0.48633,-1.94428,0.86182,0.08255,-1.91613,0.97431,0.34962,-1.93358,0.97877,0.15275,-2.0781,1.0855,0.23954,-2.08001,1.08668,0.03726,-2.00615,0.67831,0.05752,-2.05237,0.49356,0.04425,-2.08667,0.29607,0.0854,-2.07638,0.08892,0.12851,-2.12658,0.09933,0.13249,-1.9236,0.04955,0.37516,-2.02117,0.6821,0.35383,-2.04058,0.49361,0.36441,-2.06355,0.31789,0.31591,-2.05515,0.08962,0.27451,-2.10715,0.10799,0.28147,-1.90001,0.04933,0.35036,-1.95329,0.04171,0.04956,-1.97426,0.04126,0.25167,-2.04037,0.49134,0.16077,-2.06353,0.48382
4,0.03,0.1922,-2.08941,1.49718,0.19219,-2.11243,1.2474,0.20219,-1.94259,1.40128,0.20096,-1.90421,1.25042,0.01739,-2.01929,1.46191,-0.06182,-2.0133,1.14716,-0.02475,-1.91512,0.91005,-0.06528,-1.96867,0.90236,-0.07032,-1.92202,0.83429,0.36994,-2.03305,1.46887,0.47835,-2.05606,1.15452,0.44366,-1.94324,0.93074,0.48821,-1.98368,0.9237,0.48618,-1.9441,0.86185,0.08253,-1.91615,0.97432,0.3496,-1.93357,0.97877,0.15273,-2.07814,1.0855,0.23951,-2.08005,1.08667,0.03724,-2.00618,0.67831,0.05751,-2.05238,0.49355,0.04423,-2.08667,0.29607,0.08541,-2.07638,0.08891,0.12851,-2.12658,0.09933,0.13248,-1.92359,0.04954,0.37514,-2.02118,0.6821,0.35382,-2.04058,0.49361,0.36439,-2.06356,0.31789,0.31591,-2.05513,0.08963,0.27451,-2.10714,0.10799,0.28147,-1.9,0.04932,0.35036,-1.95328,0.04172,0.04956,-1.97426,0.04125,0.25165,-2.04037,0.49135,0.16076,-2.06354,0.48382
5,0.04,0.19221,-2.0895,1.49717,0.19218,-2.11248,1.24738,0.20219,-1.94263,1.40132,0.20095,-1.90423,1.25045,0.0174,-2.01937,1.46194,-0.06182,-2.01329,1.14719,-0.02472,-1.91503,0.91011,-0.06525,-1.96857,0.9024,-0.07027,-1.92189,0.83435,0.36995,-2.03311,1.46888,0.4783,-2.05603,1.1545,0.44354,-1.94312,0.93079,0.48809,-1.98356,0.92371,0.48604,-1.94393,0.86189,0.0825,-1.91618,0.97433,0.34957,-1.93356,0.97878,0.15271,-2.07818,1.0855,0.23948,-2.08009,1.08666,0.03722,-2.00621,0.67831,0.0575,-2.0524,0.49355,0.04422,-2.08668,0.29607,0.08541,-2.07637,0.0889,0.12851,-2.12658,0.09933,0.13248,-1.92359,0.04954,0.37513,-2.02118,0.6821,0.35381,-2.04057,0.49361,0.36437,-2.06356,0.31788,0.31591,-2.05512,0.08962,0.27451,-2.10714,0.10799,0.28147,-1.9,0.04932,0.35036,-1.95328,0.04172,0.04956,-1.97425,0.04125,0.25163,-2.04037,0.49135,0.16074,-2.06356,0.48382
6,0.05,0.19223,-2.0896,1.49716,0.19218,-2.11253,1.24737,0.20218,-1.94267,1.40135,0.20094,-1.90426,1.25048,0.0174,-2.01945,1.46196,-0.06182,-2.01329,1.14721,-0.02469,-1.91494,0.91018,-0.06523,-1.96847,0.90243,-0.07023,-1.92175,0.83441,0.36996,-2.03317,1.46888,0.47826,-2.056,1.15448,0.44343,-1.943,0.93084,0.48799,-1.98342,0.92372,0.48591,-1.94375,0.86192,0.08247,-1.91621,0.97433,0.34954,-1.93357,0.97878,0.15269,-2.07822,1.0855,0.23946,-2.08013,1.08665,0.03719,-2.00624,0.67831,0.05748,-2.05242,0.49354,0.04422,-2.08669,0.29606,0.08541,-2.07637,0.0889,0.12851,-2.12658,0.09933,0.13247,-1.92358,0.04954,0.37512,-2.02118,0.6821,0.35379,-2.04057,0.49361,0.36435,-2.06356,0.31788,0.31591,-2.05511,0.08962,0.27451,-2.10713,0.10798,0.28147,-1.9,0.04932,0.35035,-1.95328,0.04171,0.04956,-1.97425,0.04125,0.25162,-2.04037,0.49135,0.16073,-2.06357,0.48382
7,0.06,0.19224,-2.08968,1.49715,0.19218,-2.11258,1.24735,0.20218,-1.94271,1.40138,0.20092,-1.90429,1.25051,0.0174,-2.01953,1.46198,-0.06182,-2.01328,1.14724,-0.02466,-1.91484,0.91025,-0.06521,-1.96836,0.90247,-0.0702,-1.92161,0.83446,0.36996,-2.03323,1.46888,0.47823,-2.05596,1.15446,0.44332,-1.94288,0.93089,0.4879,-1.98328,0.92374,0.48579,-1.94357,0.86196,0.08244,-1.91625,0.97434,0.34952,-1.93358,0.97878,0.15267,-2.07826,1.0855,0.23943,-2.08017,1.08665,0.03717,-2.00628,0.6783,0.05747,-2.05244,0.49353,0.04421,-2.0867,0.29606,0.08541,-2.07637,0.0889,0.1285,-2.12658,0.09933,0.13247,-1.92358,0.04954,0.37511,-2.02119,0.6821,0.35378,-2.04056,0.4936,0.36433,-2.06356,0.31788,0.3159,-2.05512,0.08962,0.27451,-2.10713,0.10798,0.28147,-1.9,0.04932,0.35035,-1.95329,0.04171,0.04955,-1.97425,0.04125,0.2516,-2.04038,0.49135,0.16071,-2.06359,0.48382
8,0.07,0.19225,-2.08977,1.49715,0.19218,-2.11262,1.24734,0.20218,-1.94275,1.40142,0.2009,-1.90433,1.25054,0.0174,-2.0196,1.462,-0.06183,-2.01327,1.14726,-0.02465,-1.91474,0.91031,-0.06521,-1.96824,0.90251,-0.07017,-1.92147,0.83452,0.36996,-2.03329,1.46888,0.47821,-2.05591,1.15445,0.44322,-1.94276,0.93093,0.48782,-1.98313,0.92376,0.48569,-1.94338,0.862,0.08241,-1.91629,0.97434,0.34949,-1.9336,0.97878,0.15265,-2.0783,1.0855,0.23941,-2.08021,1.08664,0.03715,-2.00631,0.6783,0.05745,-2.05247,0.49353,0.0442,-2.08672,0.29605,0.0854,-2.07638,0.08889,0.1285,-2.12658,0.09932,0.13247,-1.92359,0.04954,0.37509,-2.02119,0.68209,0.35376,-2.04056,0.4936,0.36431,-2.06355,0.31788,0.3159,-2.05512,0.08962,0.2745,-2.10713,0.10797,0.28146,-1.89999,0.04931,0.35034,-1.9533,0.04171,0.04955,-1.97425,0.04124,0.25159,-2.0404,0.49134,0.1607,-2.0636,0.48382
